날짜,지역,최저온도,최고온도,강수량,증발,풍향,풍속,습도,기압,구름,온도,금일 비 여부,내일 비 여부
2009-03-22,Albury,14.6,30,0,NA,NNE,19,30,1012.7,1,29,No,No
2009-03-23,Albury,14.4,31.6,0,NA,WNW,24,25,1011.8,NA,31.4,No,No
2009-03-24,Albury,10.8,31.9,0,NA,WNW,20,20,1014.4,NA,30.7,No,No
2009-03-25,Albury,15.4,22.3,0.4,NA,SSE,9,78,1019.2,8,19.6,No,Yes
2009-03-26,Albury,13.3,29.8,1.8,NA,WNW,20,26,1017.2,6,29.2,Yes,No
2009-03-27,Albury,10.1,27.6,0,NA,W,11,30,1020.7,NA,26.8,No,No
2009-03-28,Albury,9.1,28.9,0,NA,N,17,26,1020.6,NA,27.7,No,No
2009-03-29,Albury,10.4,31.2,0,NA,SE,6,18,1019.1,NA,29.9,No,No
2009-03-30,Albury,13.4,30.4,0,NA,SE,9,16,1019.5,NA,29.2,No,No
2009-03-31,Albury,12.3,29.9,0,NA,SSW,13,25,1019.5,NA,28.6,No,No
2009-04-01,Albury,12.2,30.6,0,NA,ENE,6,22,1019.4,NA,29.5,No,No
2009-04-02,Albury,14.3,32.1,0,NA,ENE,11,30,1018.4,NA,30.9,No,Yes
2009-04-03,Albury,18.4,28.1,8.6,NA,NNE,17,49,1012.9,6,27.4,Yes,Yes
2009-04-04,Albury,10.7,21.4,12.6,NA,WSW,13,33,1019.3,NA,20.3,Yes,No
2009-04-05,Albury,7.8,21.7,0,NA,NW,19,37,1016.5,NA,21.2,No,No
2009-04-06,Albury,8.1,21.4,0,NA,WSW,19,20,1019.6,NA,20.9,No,No
2009-04-07,Albury,7.5,22.5,0,NA,S,7,27,1023.5,NA,21.6,No,No
2009-04-08,Albury,8.2,24,0,NA,SSE,13,30,1023.4,NA,23.5,No,No
2009-04-09,Albury,8.1,25.7,0,NA,S,13,27,1019.6,NA,25,No,No
2009-04-10,Albury,11.6,26.7,0,NA,NE,11,42,1017.7,7,24.3,No,Yes
2009-04-11,Albury,13,24.9,8.4,NA,E,11,47,1020.3,6,24.4,Yes,Yes
2009-04-12,Albury,13.5,24.2,6.2,NA,SE,6,52,1020.8,NA,23.1,Yes,No
2009-04-13,Albury,9.9,25.4,0,NA,SSW,7,35,1018.7,NA,25,No,No
2009-04-14,Albury,12.2,25,0,NA,W,15,39,1011.6,NA,24.6,No,No
2009-04-15,Albury,10.7,21.9,0,NA,W,31,27,1009.8,NA,18.9,No,No
2009-04-16,Albury,3.5,20,0,NA,WNW,13,30,1012.8,NA,19.4,No,No
2009-04-17,Albury,6.6,21.6,0,NA,W,11,39,1016.8,1,21.6,No,No
2009-04-18,Albury,7,23.4,0,NA,W,17,37,1019.3,NA,22.9,No,No
2009-04-19,Albury,11.2,23.9,0,NA,SE,15,33,1019.6,NA,23.6,No,No
2009-04-20,Albury,7.4,22,0,NA,SE,7,29,1020,NA,21.3,No,No
2009-04-21,Albury,5.7,21.4,0,NA,SSE,7,39,1020.9,NA,20.9,No,No
2009-04-22,Albury,6.2,22.7,0,NA,SW,7,33,1021.6,NA,22.3,No,No
2009-04-23,Albury,6,22.9,0,NA,NE,20,34,1015.7,NA,22.6,No,No
2009-04-24,Albury,10.6,16.2,0,NA,NNE,4,86,1002.4,8,15.1,No,Yes
2009-04-25,Albury,12.9,15.8,20,NA,NNW,15,89,1000.9,8,14.5,Yes,Yes
2009-04-26,Albury,8.6,12.9,21,NA,WNW,31,62,1003.3,8,11.6,Yes,Yes
2009-04-27,Albury,4.5,11.5,3.2,NA,NNW,13,79,1013.5,8,9.4,Yes,Yes
2009-04-28,Albury,7.6,14.5,4.8,NA,W,20,48,1018.3,1,14,Yes,No
2009-04-29,Albury,5.4,12.2,0,NA,SSE,7,46,1020.9,8,12.1,No,No
2009-04-30,Albury,2.1,16.5,0,NA,SW,7,38,1021.5,NA,16.1,No,No
2009-05-01,Albury,1.8,17,0,NA,WSW,7,44,1023.2,NA,16.3,No,No
2009-05-02,Albury,7.2,19.2,0,NA,W,6,49,1024,4,19.1,No,No
2009-05-03,Albury,4.6,18.9,0,NA,SSE,7,51,1025.9,NA,18.5,No,No
2009-05-04,Albury,4.2,19.1,0,NA,WSW,13,44,1027.3,NA,18.8,No,No
2009-05-05,Albury,5.2,18.8,0,NA,SE,7,47,1028.1,NA,18.4,No,No
2009-05-06,Albury,4.1,19.3,0,NA,WNW,7,49,1024.6,NA,19.2,No,No
2009-05-07,Albury,3.2,18.4,0,NA,WNW,11,49,1023.6,NA,18.2,No,No
2009-05-08,Albury,4.3,19,0,NA,W,9,36,1025.8,NA,18.5,No,No
2009-05-09,Albury,3.7,20.5,0,NA,WSW,7,45,1021.8,NA,20.2,No,No
2009-05-10,Albury,5.4,19.5,0,NA,SE,7,40,1022.3,NA,19.1,No,No
2009-05-11,Albury,4.3,17.7,0,NA,S,7,53,1022.2,NA,17.7,No,No
2009-05-12,Albury,3.6,18.5,0,NA,WNW,17,49,1018.5,NA,18,No,No
2009-05-13,Albury,3.6,15.1,0,NA,W,17,61,1015.7,8,14.6,No,No
2009-05-14,Albury,6.9,16.3,0,NA,WNW,19,59,1013.1,8,15.3,No,No
2009-05-15,Albury,10.3,16.6,0,NA,NW,19,63,1011,7,15.9,No,Yes
2009-05-16,Albury,12.4,16.4,1.8,NA,WSW,24,54,1013.4,8,14.5,Yes,No
2009-05-17,Albury,3,15.6,0,NA,E,9,61,1019.3,NA,14.7,No,No
2009-05-18,Albury,2.6,19.7,0,NA,ENE,4,34,1021.2,NA,18.7,No,No
2009-05-19,Albury,3.7,19.1,0,NA,SSE,11,51,1019.9,NA,18.9,No,No
2009-05-20,Albury,5.1,18.6,0,NA,ENE,9,57,1020.5,7,18,No,No
2009-05-21,Albury,4.4,19.8,0,NA,SE,7,48,1022.3,NA,19.1,No,No
2009-05-22,Albury,4.7,19.8,0,NA,SE,19,43,1021.4,NA,19.6,No,No
2009-05-23,Albury,6.2,22.9,0,NA,SE,9,37,1019.4,NA,21.7,No,No
2009-05-24,Albury,6.7,21.1,0,NA,SE,11,43,1022.1,NA,20.8,No,No
2009-05-25,Albury,9.3,20.3,0,NA,NE,22,50,1019.7,8,19.5,No,Yes
2009-05-26,Albury,11.6,18.1,4.2,NA,SSE,6,74,1019.2,3,17.4,Yes,No
2009-05-27,Albury,8,16.2,0.8,NA,WSW,11,58,1019.3,NA,15.6,No,No
2009-05-28,Albury,2.6,15.7,0,NA,S,2,48,1021.6,NA,15.3,No,No
2009-05-29,Albury,2.2,16.5,0,NA,SE,19,44,1024,NA,15.9,No,No
2009-05-30,Albury,2.2,16.8,0,NA,SE,15,44,1028.5,NA,16.7,No,No
2009-05-31,Albury,1.7,17.1,0,NA,SE,9,46,1029.9,NA,16.8,No,Yes
2009-06-01,Albury,8,14.3,1.2,NA,NA,0,75,1029.2,8,14,Yes,Yes
2009-06-02,Albury,8.4,13.4,1.4,NA,ESE,7,75,1026.2,8,13.4,Yes,Yes
2009-06-03,Albury,10.6,14.3,4.8,NA,SE,9,97,1020.4,8,13,Yes,Yes
2009-06-04,Albury,8.9,17.4,8,NA,E,4,58,1017.5,7,16.5,Yes,No
2009-06-05,Albury,2.8,16.1,0,NA,W,11,57,1015.1,NA,15.6,No,No
2009-06-06,Albury,1.7,10.5,0.2,NA,NA,0,91,1011.1,8,10.2,No,Yes
2009-06-07,Albury,4.7,11.6,14.4,NA,NNW,17,80,1006.3,8,11.5,Yes,Yes
2009-06-08,Albury,9,12,4.6,NA,WNW,26,79,1008.7,8,11.4,Yes,Yes
2009-06-09,Albury,6.3,8.8,2,NA,WNW,13,95,1008.3,8,7.9,Yes,Yes
2009-06-10,Albury,3,10.5,5.6,NA,WSW,22,56,1018.4,4,9.7,Yes,No
2009-06-11,Albury,-2,9.6,0,NA,ESE,6,72,1023,1,8.8,No,No
2009-06-12,Albury,-1.3,8.2,0,NA,SSE,6,72,1022.2,7,7.9,No,No
2009-06-13,Albury,1.8,12.4,0,NA,NE,15,60,1013,4,12.1,No,No
2009-06-14,Albury,2,15.8,0,NA,NE,11,49,1009.3,NA,15.5,No,No
2009-06-15,Albury,0.5,14.9,0.4,NA,NA,0,63,1012.8,NA,13.9,No,No
2009-06-16,Albury,1.2,17.7,0,NA,ESE,6,49,1022.2,NA,15.4,No,No
2009-06-17,Albury,0.6,15.9,0,NA,W,2,52,1027.7,NA,14.9,No,No
2009-06-18,Albury,0.5,14.7,0,NA,NA,0,63,1028.6,NA,14.5,No,No
2009-06-19,Albury,0.5,15.3,0,NA,SE,6,56,1027.1,NA,15.1,No,No
2009-06-20,Albury,0.9,17.3,0,NA,NE,17,56,1020.6,8,16.7,No,Yes
2009-06-21,Albury,7,17,1.6,NA,ENE,20,71,1018.6,1,16.4,Yes,Yes
2009-06-22,Albury,5,14.9,5.6,NA,ENE,6,78,1018.6,8,13.6,Yes,No
2009-06-23,Albury,3.9,15.5,0,NA,SSE,7,70,1016.4,6,15.2,No,Yes
2009-06-24,Albury,7.7,14.1,6,NA,SE,9,65,1012.7,5,13.7,Yes,No
2009-06-25,Albury,4.7,12.2,0,NA,N,13,75,1012.7,8,11.6,No,Yes
2009-06-26,Albury,6.9,13.7,4.4,NA,ESE,9,73,1008.1,NA,13,Yes,No
2009-06-27,Albury,8.4,11.9,0,NA,SE,6,81,1005.5,8,11.3,No,Yes
2009-06-28,Albury,9.3,12.3,5.4,NA,NNW,11,76,1006.6,8,12.3,Yes,Yes
2009-06-29,Albury,8.2,15.7,3.6,NA,NNE,15,69,1009.4,8,15.6,Yes,Yes
2009-06-30,Albury,9.1,16.1,2,NA,NE,19,73,1001,8,15.3,Yes,Yes
2009-07-01,Albury,8.3,13.3,8.4,NA,NW,22,68,1005.2,5,13.1,Yes,Yes
2009-07-02,Albury,8.8,11.6,5,NA,WNW,19,74,1006.8,4,11.4,Yes,Yes
2009-07-03,Albury,7.6,12,7.8,NA,WSW,22,62,1009.6,1,11.7,Yes,No
2009-07-04,Albury,5.7,13.2,0,NA,WNW,24,76,1014.9,8,12.6,No,No
2009-07-05,Albury,3.4,12.4,0,NA,W,15,56,1019,NA,12,No,No
2009-07-06,Albury,0,12.1,0,NA,WSW,7,65,1020.4,NA,11.4,No,No
2009-07-07,Albury,-1.5,12.5,0,NA,ENE,7,46,1024.6,NA,12.4,No,No
2009-07-08,Albury,-1.7,13.8,0,NA,ESE,7,54,1028.1,NA,12.4,No,No
2009-07-09,Albury,-0.4,15,0.2,NA,SE,7,54,1028.6,NA,14.3,No,No
2009-07-10,Albury,0.1,13.5,0,NA,SSE,9,62,1023.8,NA,13.4,No,No
2009-07-11,Albury,4.8,13.3,0.6,NA,NE,13,63,1015.6,1,13.2,No,No
2009-07-12,Albury,8.1,16.5,0.6,NA,NNW,19,53,1007.7,6,15.4,No,No
2009-07-13,Albury,5.9,13.1,1,NA,NNW,11,73,1005.5,8,12.3,No,Yes
2009-07-14,Albury,6.9,11,6.8,NA,SSW,9,75,1005.8,8,10.1,Yes,Yes
2009-07-15,Albury,2.9,12.6,1.8,NA,NA,0,57,1009.9,NA,12.5,Yes,No
2009-07-16,Albury,-0.6,13.4,0,NA,WSW,9,57,1014.5,NA,12.8,No,No
2009-07-17,Albury,-0.3,14.4,0.2,NA,SW,6,52,1020.6,NA,14.2,No,No
2009-07-18,Albury,-1,12,0,NA,N,11,64,1019.5,5,11.2,No,No
2009-07-19,Albury,3.2,14.1,0.6,NA,NE,11,65,1019.8,8,13.5,No,No
2009-07-20,Albury,3.6,16.5,0.2,NA,N,19,53,1018.4,NA,16.3,No,No
2009-07-21,Albury,0.8,17.7,0,NA,ENE,17,46,1013.4,NA,17.6,No,No
2009-07-22,Albury,6.6,12.3,0,NA,NNW,20,81,1006.2,8,10.2,No,Yes
2009-07-23,Albury,6,13.5,9.8,NA,W,17,58,1018.4,7,12.9,Yes,No
2009-07-24,Albury,-0.1,12.9,0,NA,NNW,15,58,1025.4,2,11.6,No,No
2009-07-25,Albury,-0.3,12.2,0,NA,NE,9,61,1022.7,NA,10.8,No,No
2009-07-26,Albury,2.1,9.8,0,NA,E,2,74,1013.7,NA,9.6,No,No
2009-07-27,Albury,1.3,8.8,0,NA,NNW,9,91,1019.9,8,7.3,No,Yes
2009-07-28,Albury,4.2,12.7,3.8,NA,WNW,11,71,1023.1,8,12,Yes,Yes
2009-07-29,Albury,8.3,13.2,2.4,NA,WSW,9,81,1025.4,8,12.1,Yes,No
2009-07-30,Albury,3.3,12.1,0.2,NA,WNW,9,76,1022.7,7,12,No,Yes
2009-07-31,Albury,6.5,14.5,5.2,NA,WSW,22,61,1021.5,8,12.7,Yes,No
2009-08-01,Albury,7.4,13.9,0.2,NA,WNW,15,70,1025.3,3,13.3,No,No
2009-08-02,Albury,7.5,14.1,0.8,NA,NNW,17,65,1024.8,6,13.3,No,No
2009-08-03,Albury,8.3,13.8,0.8,NA,WNW,15,49,1022.9,NA,13.6,No,No
2009-08-04,Albury,3.2,14.7,0,NA,ENE,4,53,1018.9,NA,14,No,Yes
2009-08-05,Albury,5.7,13.8,5.4,NA,S,7,76,1020.2,8,13.6,Yes,No
2009-08-06,Albury,5.1,17.1,0.4,NA,NE,19,58,1016.7,NA,16.6,No,No
2009-08-07,Albury,8,13.9,0.8,NA,WSW,33,47,1015.6,8,13.7,No,Yes
2009-08-08,Albury,-0.8,12.9,4.2,NA,WSW,6,50,1023,NA,12.3,Yes,No
2009-08-09,Albury,-1,12.2,0,NA,E,7,48,1018.5,NA,12.1,No,No
2009-08-10,Albury,1.9,14.8,0.2,NA,SE,11,60,1014.7,NA,12.6,No,No
2009-08-11,Albury,5.9,17.7,0.4,NA,NNW,22,59,1008.6,1,15.6,No,Yes
2009-08-12,Albury,6.9,14.3,4.8,NA,NW,13,74,1010,8,13,Yes,No
2009-08-13,Albury,7.7,11.6,0.2,NA,N,13,87,1015.3,7,11.1,No,Yes
2009-08-14,Albury,6.8,15.2,1.2,NA,WNW,13,61,1019.1,NA,14.7,Yes,No
2009-08-15,Albury,2.7,17.5,0.2,NA,NE,13,57,1016.8,NA,17,No,Yes
2009-08-16,Albury,5.1,15.5,1.6,NA,ENE,11,70,1006.4,8,14.3,Yes,Yes
2009-08-17,Albury,4.2,13.6,3.2,NA,WNW,19,57,1019.7,NA,12.8,Yes,No
2009-08-18,Albury,0.6,15.6,0,NA,S,6,58,1027.2,2,14.4,No,No
2009-08-19,Albury,1.6,16.4,0,NA,S,7,61,1022.5,1,15.2,No,No
2009-08-20,Albury,5.5,18.4,0,NA,N,13,51,1014.3,NA,17.3,No,No
2009-08-21,Albury,7.3,14.8,1,NA,WSW,30,85,1001.7,8,10.1,No,Yes
2009-08-22,Albury,0.2,14.1,6.6,NA,NNE,13,57,1009.6,NA,12.9,Yes,Yes
2009-08-23,Albury,5.8,18.9,3.8,NA,NNE,11,67,1007.1,3,18.2,Yes,Yes
2009-08-24,Albury,8.9,17.1,1.2,NA,NW,22,52,1001,NA,16.4,Yes,Yes
2009-08-25,Albury,7.1,12.8,2,NA,NW,20,53,1008.2,NA,11.7,Yes,Yes
2009-08-26,Albury,4.2,14.4,3.6,NA,NW,30,56,1014.4,8,13.6,Yes,No
2009-08-27,Albury,1.1,16.7,0.4,NA,N,19,49,1014.6,NA,16.2,No,No
2009-08-28,Albury,1.1,18.6,0,NA,E,11,51,1013.3,NA,17.6,No,Yes
2009-08-29,Albury,7.2,17.9,4.2,NA,W,19,80,996.9,8,17.5,Yes,Yes
2009-08-30,Albury,6.3,11.1,13.4,NA,W,20,57,1015.2,8,10.7,Yes,Yes
2009-08-31,Albury,6.7,14.2,1.4,NA,NW,22,72,1016.8,5,13.9,Yes,Yes
2009-09-01,Albury,5.1,14.2,3,NA,W,15,58,1021.7,1,12.5,Yes,No
2009-09-02,Albury,1,16.8,0,NA,E,9,45,1020.2,NA,16,No,No
2009-09-03,Albury,6.1,20.7,0,NA,NE,24,54,1010.8,NA,20.3,No,Yes
2009-09-04,Albury,6.3,16.9,1.4,NA,WNW,13,58,1012.3,NA,15.5,Yes,No
2009-09-05,Albury,2.1,15,0,NA,NW,11,54,1017.9,6,14.9,No,No
2009-09-06,Albury,1.6,16.6,0,NA,NE,20,47,1011.4,NA,15.4,No,No
2009-09-07,Albury,8.3,17.6,0,NA,W,30,53,1002.7,NA,16.5,No,No
2009-09-08,Albury,5.7,16.5,0,NA,WSW,30,59,1009,4,15.3,No,No
2009-09-09,Albury,7.5,14.3,0,NA,WNW,22,67,1011.3,8,13.4,No,No
2009-09-11,Albury,NA,18.8,NA,NA,NNE,19,46,1018.2,NA,18.1,NA,No
2009-09-12,Albury,6.5,24.7,0,NA,NE,22,39,1015.4,NA,24,No,No
2009-09-13,Albury,13.2,25.1,0,NA,WNW,11,25,1012.2,NA,23.1,No,No
2009-09-14,Albury,4.3,17.8,0,NA,NNW,6,29,1019.9,NA,17.1,No,No
2009-09-15,Albury,1.6,17.2,0,NA,S,7,44,1019.1,NA,16.7,No,No
2009-09-16,Albury,2.8,21.1,0,NA,ESE,9,39,1016.8,NA,20.7,No,No
2009-09-17,Albury,6.3,19,0,NA,NW,2,73,1011.9,7,14,No,Yes
2009-09-18,Albury,7.4,20.4,10.2,NA,NA,0,54,1018.6,NA,20.3,Yes,No
2009-09-19,Albury,5.4,20.6,0,NA,WNW,11,46,1015,8,19.2,No,No
