Gender,Job,Purchase,label
0,7,5411,2
0,7,9734,2
0,7,7814,2
0,7,6098,2
0,7,5195,2
0,7,5220,2
0,7,16093,2
0,7,3702,2
0,11,8696,2
0,11,7730,2
0,11,9836,2
0,11,16500,2
0,11,15903,2
1,1,758,2
1,1,6904,2
1,1,8690,2
1,1,8624,2
1,1,3904,2
0,7,19068,3
0,7,7963,3
0,7,15511,3
0,7,11859,3
1,7,9735,3
1,7,4166,3
1,7,6927,3
0,7,8596,6
0,7,5248,6
0,7,10592,6
0,7,3482,6
1,0,7134,2
0,3,7854,4
0,3,17391,4
0,3,6074,4
0,3,6119,4
0,3,15333,4
0,3,6129,4
0,3,5265,4
0,3,7888,4
0,3,4035,4
0,3,5280,4
0,3,7909,4
0,3,811,4
0,3,2846,4
0,3,7994,4
0,3,3897,4
1,0,6996,1
1,0,8593,1
1,0,6917,1
1,0,5329,1
1,0,5942,1
1,0,15895,1
1,0,7165,1
1,0,9846,1
1,0,8701,1
1,0,8757,1
0,1,6109,4
0,1,6139,4
0,1,5897,4
0,1,3990,4
0,1,6153,4
0,1,5319,4
0,1,10767,4
0,3,2832,2
0,3,8066,2
0,3,15812,2
0,3,6967,2
0,3,6922,2
0,3,8621,2
0,3,7030,2
0,3,7172,2
0,3,15769,2
0,3,6871,2
0,3,7171,2
0,3,7139,2
0,3,16280,2
0,3,9894,2
0,3,3664,2
0,3,7869,2
0,3,16866,2
0,3,20442,2
0,3,11518,2
0,3,15285,2
0,3,15524,2
0,3,19278,2
0,3,15445,2
1,9,8034,2
0,4,12464,1
0,4,15319,1
1,4,5915,1
1,4,6025,1
0,8,19433,2
0,8,6027,2
0,8,7040,2
0,8,11965,2
0,8,15469,2
0,8,11925,2
0,8,2826,2
0,8,4013,2
0,8,5914,2
0,8,7176,2
0,12,20961,2
0,17,19072,4
0,17,7179,4
0,17,7995,4
0,17,4124,4
0,17,7772,4
0,17,11799,4
0,17,13251,4
0,17,3524,4
0,17,15853,4
0,17,1728,4
0,17,11693,4
0,17,7852,4
0,17,1582,4
1,16,6950,4
1,16,1414,4
1,16,4325,4
1,16,4028,4
1,16,3432,4
1,16,3715,4
1,16,3540,4
1,16,5352,4
1,16,1828,4
1,16,7159,4
0,19,7614,1
0,19,1784,1
0,19,3978,1
0,19,7478,1
0,4,8043,1
0,4,6912,1
0,4,1447,2
0,4,4338,2
0,4,19352,2
0,4,11420,2
0,4,5897,2
0,4,7048,2
0,4,15783,2
0,4,11396,2
0,4,5180,2
0,4,15549,2
0,4,11935,2
0,4,8091,2
0,4,7001,2
0,4,1747,2
0,4,5252,2
0,4,6407,2
0,4,15466,2
0,4,7781,2
0,4,15849,2
0,4,11430,2
0,4,11404,2
0,4,11853,2
0,4,1446,2
0,4,3101,2
0,4,3694,2
0,4,3696,2
0,4,3580,2
0,12,9879,1
0,12,10783,1
0,12,13353,1
0,12,15715,1
0,12,11463,1
0,12,7763,1
1,2,5878,2
1,2,5845,2
1,10,17271,0
0,4,15244,1
0,4,19060,1
0,4,15772,1
0,4,8159,1
0,0,3794,2
0,0,8637,2
0,0,19251,2
0,0,10021,2
0,0,15734,2
0,0,19662,2
0,0,19416,2
0,0,5996,2
0,0,11937,2
0,0,15859,2
0,0,11723,2
0,0,11793,2
0,0,13689,2
0,0,16306,2
0,0,19171,2
0,0,1629,2
0,0,6931,2
0,0,12004,2
0,0,1752,2
0,0,10766,2
0,0,20529,2
0,0,9856,2
0,0,8000,2
0,0,10038,2
0,0,8685,2
0,0,7796,2
0,0,20474,2
0,0,7820,2
0,0,16477,2
0,1,6198,5
0,1,5185,5
0,20,5980,3
0,20,11370,3
0,20,9834,3
0,20,2012,3
0,19,3581,1
0,19,12131,1
0,19,4290,1
0,2,15824,2
0,2,23603,2
0,2,9940,2
0,2,13557,2
0,2,16420,2
0,2,8842,2
0,2,7959,2
0,2,6987,2
0,2,6855,2
0,2,16579,2
0,2,5851,2
0,2,8147,2
0,2,12850,2
1,1,5899,5
1,1,3993,5
1,1,8084,5
1,1,7159,5
1,1,12014,5
1,1,8007,5
1,1,6141,5
1,1,9695,5
1,1,5900,5
1,1,1384,5
1,1,1432,5
1,1,2074,5
1,1,7864,5
1,1,8784,5
1,1,7988,5
0,1,2048,5
0,1,742,5
0,17,15365,2
1,3,5234,3
1,3,11694,3
1,3,23792,3
1,3,15654,3
1,3,9844,3
1,3,16698,3
1,3,15957,3
1,3,8599,3
1,3,8138,3
1,3,12422,3
1,3,7766,3
1,3,15208,3
1,3,5284,3
1,3,7965,3
1,3,11279,3
0,4,5881,1
0,4,8587,1
0,4,7552,1
0,4,2226,1
0,1,19462,1
0,12,13253,3
0,12,19420,3
0,12,19409,3
0,12,9889,3
0,12,15628,3
0,12,7053,3
0,18,8652,2
1,5,8088,5
1,5,9878,5
1,5,7771,5
0,4,9938,1
0,4,7036,1
0,4,11429,1
1,1,11715,2
1,1,7973,2
0,4,7076,1
0,4,2304,1
0,14,11846,2
0,14,7908,2
0,14,5223,2
0,14,6996,2
1,0,7968,4
1,0,15426,4
0,4,15900,1
0,4,11822,1
0,4,7802,1
0,4,15624,1
0,4,15212,1
0,14,15581,3
0,14,12409,3
1,10,13337,0
1,10,13667,0
1,10,12746,0
1,10,5349,0
1,10,16187,0
1,10,16320,0
1,10,2129,0
1,10,11055,0
1,10,11000,0
1,10,10578,0
0,7,7909,3
0,7,7190,3
0,7,15393,3
0,7,11867,3
0,7,5973,3
0,4,6909,1
0,4,6144,1
0,4,5432,1
1,1,1720,4
1,1,6852,4
1,1,7061,4
1,1,6868,4
1,1,8598,4
1,1,3624,4
1,1,6986,4
1,1,6862,4
1,0,7962,4
1,0,15943,4
0,1,9788,6
0,1,9859,6
0,1,8248,6
1,0,10058,2
0,17,8162,2
0,17,8045,2
1,2,15584,2
1,2,8775,2
1,2,7996,2
1,2,6889,2
1,2,11730,2
0,4,5315,1
0,4,3497,1
0,4,11896,1
0,4,20595,1
0,4,5986,1
1,10,19283,0
1,10,19442,0
0,14,4121,2
0,14,3847,2
0,14,4528,2
1,1,10022,4
1,1,7809,4
1,1,7019,4
1,9,8804,6
1,9,1747,6
0,13,6122,6
0,13,7824,6
0,13,8714,6
0,13,7786,6
0,13,6975,6
0,13,15433,6
0,13,3667,6
0,13,5354,6
0,13,11605,6
0,13,6078,6
0,13,1463,6
0,13,2010,6
0,13,10009,6
0,13,7178,6
0,7,6013,3
0,7,8858,3
0,7,5252,3
0,7,8771,3
1,4,7884,1
1,4,13400,1
1,4,2233,1
1,4,3545,1
1,4,1868,1
1,4,5916,1
1,4,5780,1
1,4,5755,1
1,4,3126,1
1,4,1387,1
1,4,2114,1
1,4,16416,1
1,4,3460,1
1,4,11449,1
1,4,6434,1
0,17,7038,2
0,17,11031,2
0,17,13293,2
0,17,15895,2
0,17,19247,2
0,17,8058,2
0,17,11754,2
0,17,12037,2
0,17,15479,2
0,17,7836,2
0,17,15901,2
0,17,11533,2
0,17,11601,2
0,17,4251,2
0,17,8289,2
0,17,3612,2
0,17,15482,2
0,0,3746,4
0,0,7857,4
1,16,7193,2
1,16,5857,2
1,3,7040,3
1,3,7976,3
1,3,11670,3
1,3,6150,3
1,3,6964,3
1,3,940,3
1,3,9956,3
1,3,7773,3
1,10,5935,0
1,10,18982,0
1,10,10769,0
1,10,7821,0
1,10,2007,0
0,17,11612,3
0,17,7824,3
0,17,12486,3
1,3,19464,1
1,3,19027,1
1,3,19394,1
1,3,15871,1
0,19,9941,3
0,19,3829,3
0,19,7108,3
0,19,4102,3
0,19,2028,3
0,19,8310,3
0,19,929,3
0,7,15827,4
0,7,15233,4
0,7,15418,4
0,7,15801,4
0,12,6073,4
0,12,6975,4
0,12,4039,4
0,12,11476,4
1,11,7035,3
1,11,8645,3
1,11,19703,3
0,18,9753,4
0,18,17403,4
0,18,3921,4
0,18,5823,4
0,18,12163,4
0,18,1058,4
0,12,2021,2
0,15,19131,4
0,15,6863,4
0,15,7085,4
0,2,6923,2
0,15,15351,3
0,15,5149,3
0,16,13575,2
0,12,19697,1
0,12,12790,1
1,2,10930,2
1,2,1735,2
0,17,16171,2
0,17,15726,2
0,17,8337,2
0,17,9756,2
0,17,8140,2
0,17,12009,2
0,17,5959,2
0,17,8649,2
0,17,2018,2
0,17,7880,2
0,17,19446,2
0,17,8300,2
0,17,11893,2
0,17,5415,2
0,17,2967,2
0,17,4543,2
0,17,1474,2
0,17,5417,2
0,17,8081,3
0,17,9712,3
0,17,15909,3
0,17,15651,3
0,17,15756,3
0,17,8012,3
0,17,11408,3
0,17,15492,3
0,17,9569,3
0,17,15687,3
0,17,5304,3
0,17,6923,3
1,10,5277,0
1,10,7088,0
1,10,2122,0
1,10,5597,0
1,10,15837,0
0,11,16128,2
0,7,3627,3
0,7,19498,3
1,4,4530,1
0,9,3639,3
0,9,5314,3
0,9,12111,3
0,9,3631,3
0,9,19586,3
0,9,18971,3
0,9,16456,3
0,9,13009,3
0,9,15635,3
0,9,15181,3
0,9,16379,3
0,9,6187,3
0,9,16446,3
0,9,14650,3
0,9,7810,3
0,9,8143,3
0,9,4018,3
0,9,11971,3
0,9,8130,3
0,7,7904,6
0,14,4497,4
0,14,16498,4
0,14,19234,4
0,14,15253,4
0,14,19064,4
0,14,11647,4
0,9,23233,1
0,9,3638,1
1,3,19681,4
1,3,5886,4
1,3,17320,4
1,3,5332,4
1,3,7890,4
0,6,8629,6
0,11,15383,2
0,11,15641,2
0,11,5298,2
0,11,15525,2
0,11,19406,2
0,17,3688,3
0,17,2209,3
0,17,19706,3
0,17,15907,3
0,17,19062,3
0,17,15244,3
0,17,19304,3
0,17,19240,3
0,17,19559,3
0,17,19090,3
0,17,15744,3
0,4,6886,1
0,4,8075,1
0,4,8801,1
0,4,8734,1
0,4,5936,1
0,4,5945,1
0,4,5418,1
0,4,6896,1
0,4,7734,1
0,4,8127,1
0,17,8709,2
0,17,8678,2
0,17,5463,2
0,17,3743,2
0,17,8751,2
1,0,6954,2
1,0,9972,2
1,0,7041,2
1,0,8779,2
1,0,7797,2
0,0,3622,2
0,0,15783,2
0,0,3843,2
0,0,3877,2
0,4,16241,1
0,4,19146,1
0,4,3709,1
0,2,8850,1
0,2,1498,1
0,2,4304,1
0,2,7031,1
0,2,1754,1
0,2,3613,1
0,2,15563,1
0,2,7092,1
0,2,16709,1
0,2,5596,1
0,2,8224,1
0,2,6901,1
0,2,5289,1
0,2,5228,1
1,6,8126,4
1,6,11446,4
1,6,15334,4
1,6,15739,4
1,6,11809,4
1,6,11814,4
1,6,6938,4
1,6,16828,4
1,6,8066,4
0,20,19391,1
0,20,12146,1
0,20,19977,1
1,20,7773,2
1,20,8314,2
1,20,21002,2
1,20,9746,2
1,20,15239,2
1,20,15795,2
1,20,8778,2
1,20,23595,2
1,20,19117,2
1,20,15688,2
1,20,928,2
1,20,15311,2
1,20,19621,2
1,20,1558,2
1,1,3843,3
1,1,770,3
0,7,5267,2
0,7,4072,2
0,7,20214,2
0,7,12025,2
0,7,15212,2
0,3,7170,1
0,3,19662,1
0,3,6951,1
0,4,16772,1
0,4,5953,1
0,4,9756,1
0,4,2159,1
1,20,15659,3
1,20,5247,3
1,20,16004,3
1,20,12053,3
1,20,3489,3
1,20,16616,3
1,20,7968,3
1,20,9932,3
1,20,2944,3
1,20,8057,3
1,20,15347,3
1,20,7110,3
1,20,3836,3
1,20,9885,3
1,20,9832,3
1,20,7892,3
1,20,16813,3
1,20,959,3
1,20,5381,3
1,20,7055,3
1,20,6866,3
1,20,19177,3
1,20,7805,3
1,20,8667,3
0,4,19474,1
0,4,11916,1
0,4,7589,1
0,4,15308,1
0,4,9614,1
0,4,15387,1
0,4,20585,1
0,17,19031,5
0,17,15671,5
0,17,15289,5
0,17,12101,5
0,17,15383,5
0,17,19608,5
0,17,1827,5
0,17,1787,5
0,17,2318,5
0,17,8287,5
0,17,8812,5
0,17,7114,5
0,17,7799,5
0,17,8657,5
0,17,5375,5
0,17,11715,5
0,17,7021,5
0,17,2141,5
0,17,6053,5
0,17,5955,5
0,1,15969,2
0,1,5267,2
0,1,6151,2
0,1,6018,2
0,1,6140,2
0,1,19091,2
0,1,20538,2
0,1,16137,2
0,1,10024,2
0,1,7047,2
0,1,15571,2
0,1,16235,2
0,1,9993,2
0,1,15161,2
0,1,7835,2
0,1,6188,2
0,1,8752,2
0,1,10715,2
0,1,15210,2
0,1,6998,2
0,1,7064,2
0,1,15165,2
0,7,5865,3
0,7,8697,3
0,7,8798,3
0,7,15255,3
0,7,15697,3
0,7,8009,3
0,7,13272,3
0,7,16061,3
0,7,7995,3
0,7,15590,3
1,20,12063,2
1,20,11653,2
1,20,7011,2
1,20,6089,2
1,20,5844,2
1,20,8124,2
1,20,11977,2
1,20,7179,2
1,20,1990,2
1,20,5471,2
1,20,15678,2
1,20,6894,2
1,20,7964,2
1,20,8707,2
1,20,8575,2
1,20,7035,2
1,20,11493,2
1,20,5180,2
1,20,7009,2
1,20,5205,2
1,20,7175,2
1,20,7159,2
1,20,6129,2
1,20,7087,2
0,4,8744,1
0,10,8588,0
0,10,20679,0
0,10,8817,0
0,20,7821,5
0,20,8144,5
0,20,15257,5
0,20,6139,5
0,12,6967,3
0,12,6807,3
0,12,7944,3
0,12,5415,3
0,12,1916,3
0,12,16208,3
0,12,9795,3
1,7,9872,4
1,7,6010,4
1,7,7141,4
0,16,15544,3
0,16,7762,3
0,16,7948,3
0,16,6123,3
0,16,11475,3
0,16,6368,3
0,16,6962,3
0,16,3522,3
0,16,5185,3
0,16,5474,3
0,16,12920,3
0,7,9703,6
0,7,13324,6
1,0,12828,4
0,7,4681,3
0,7,5881,3
0,16,8108,4
0,16,16122,4
0,16,20915,4
0,16,8689,4
0,16,10062,4
0,16,16272,4
0,16,6875,4
0,16,9821,4
0,16,13717,4
0,16,15378,4
0,16,10040,4
0,16,8065,4
1,4,5711,1
1,4,7059,1
1,4,11808,1
1,4,19091,1
1,4,8844,1
0,4,1534,1
0,4,3923,1
0,4,3506,1
0,4,4000,1
0,4,4597,1
0,4,3460,1
0,4,3611,1
0,4,8305,1
0,4,12017,1
0,4,11575,1
0,4,11374,1
0,4,15312,1
0,4,8067,1
0,4,11635,1
0,4,8081,1
0,4,3931,1
0,4,4145,1
0,4,3916,1
0,4,4012,1
0,4,3759,1
0,4,2952,1
0,4,4152,1
0,4,3068,1
0,4,5697,1
0,16,11516,1
0,16,19928,1
0,16,6873,1
0,16,15879,1
0,16,11400,1
0,4,12006,1
0,4,16856,1
0,4,15470,1
0,4,15956,1
0,4,19966,1
0,4,7786,1
0,4,15454,1
0,4,7924,1
0,4,9752,1
0,4,11513,1
0,4,8115,1
0,4,8843,1
0,4,9849,1
0,4,9812,1
0,4,16651,1
0,4,3172,1
0,4,9942,1
0,4,5966,1
0,4,6182,1
0,4,5280,1
0,4,5346,1
0,4,8902,1
0,7,7999,2
0,7,5423,2
0,7,1460,2
0,7,6146,2
0,7,9732,2
0,7,7861,2
0,7,15419,2
0,7,1434,2
0,7,6971,2
0,7,7034,2
0,7,7013,2
0,7,6898,2
0,7,5139,2
0,7,5429,2
0,7,5187,2
0,7,8655,2
0,7,5432,2
0,7,7019,2
0,7,6897,2
0,7,8466,2
0,7,8698,2
0,7,2750,2
0,7,8015,2
0,7,19252,2
0,7,5446,2
0,7,15800,2
0,7,15851,2
0,7,15402,2
0,7,1454,2
0,11,19696,2
0,11,15745,2
1,17,16018,5
0,3,14070,2
0,0,759,2
0,0,16590,2
0,0,20537,2
0,0,12662,2
0,0,9960,2
0,0,15351,2
0,0,10013,2
0,0,11598,2
0,0,11563,2
0,0,7184,2
0,0,12739,2
0,0,6085,2
0,0,5909,2
0,0,9786,2
0,0,10074,2
0,0,8051,2
0,0,8062,2
0,0,7861,2
0,0,5173,2
0,0,9825,2
0,0,10064,2
0,0,9845,2
0,0,19472,2
0,0,11693,2
0,0,8053,2
0,0,6078,2
0,0,5962,2
0,16,15828,2
0,16,15864,2
0,16,15864,2
0,16,19396,2
0,16,11457,2
0,16,11823,2
0,16,15267,2
1,2,9805,2
1,2,8766,2
1,2,7918,2
1,2,9995,2
1,2,8113,2
1,2,9749,2
1,2,6919,2
1,2,1772,2
1,2,23341,2
1,2,10604,2
1,2,10681,2
1,2,19442,2
1,2,8323,2
1,3,5202,1
0,1,19108,5
0,1,9828,5
0,1,776,5
0,1,11595,5
0,17,7900,6
0,17,1381,6
0,17,7187,6
0,17,5457,6
0,0,6147,2
0,0,11687,2
0,12,6086,4
0,12,5444,4
0,17,9820,1
0,17,8614,1
0,17,15825,1
0,17,19050,1
0,17,11763,1
0,17,11639,1
0,17,7090,1
0,17,5396,1
0,17,3454,1
0,17,6906,1
0,17,9979,1
0,17,7938,1
0,17,8141,1
0,4,8576,1
0,4,13301,1
0,4,11048,1
0,4,5359,1
0,4,8862,1
0,4,16234,1
1,1,14334,4
1,1,9941,4
1,1,13275,4
1,1,8690,4
1,1,6916,4
1,1,8788,4
1,1,7142,4
1,0,7954,2
1,0,15466,2
1,0,3427,2
1,0,13601,2
0,0,15327,4
0,0,15780,4
0,0,8200,4
0,5,19452,1
0,5,10834,1
0,5,15614,1
1,1,8127,4
1,1,9776,4
1,1,15560,4
1,1,10055,4
1,1,5232,4
1,1,5832,4
1,1,9912,4
1,1,7801,4
1,1,7031,4
1,1,8053,4
1,1,7039,4
1,1,20771,4
1,1,7052,4
1,1,10075,4
1,1,8000,4
1,1,7876,4
1,1,7036,4
1,1,8897,4
1,1,6911,4
1,1,7879,4
1,1,6907,4
0,16,12379,6
0,16,11916,6
0,16,4678,6
0,16,8022,6
0,17,12235,2
0,17,4508,2
0,17,4686,2
0,17,11823,2
0,4,8861,1
0,1,12001,1
0,1,10012,1
0,1,15294,1
0,1,6727,1
0,1,3713,1
0,1,6015,1
0,1,7918,1
0,1,9565,1
0,1,11428,1
0,1,15223,1
0,1,8108,1
0,1,6003,1
0,1,5849,1
0,1,4004,1
0,1,4135,1
0,1,5354,1
1,15,5311,4
1,15,10018,4
1,15,19149,4
1,15,9862,4
1,15,7922,4
1,15,7880,4
1,15,12662,4
1,15,5447,4
1,15,5362,4
1,10,8104,0
1,10,7160,0
0,12,9761,2
0,12,9985,2
0,12,8859,2
0,12,6090,2
0,12,15545,2
0,12,9865,2
0,12,4163,2
0,12,6916,2
0,12,8182,2
0,12,9992,2
0,12,11896,2
0,12,7784,2
0,12,11594,2
0,12,15310,2
0,12,5392,2
0,12,10004,2
0,12,1761,2
0,12,12890,2
0,12,19482,2
0,12,6199,2
0,12,11817,2
0,12,7670,2
0,12,6875,2
0,12,5401,2
0,12,20060,2
0,12,9862,2
0,12,7971,2
0,12,21224,2
0,12,12096,2
0,12,7178,2
0,12,6988,2
0,12,16477,2
0,12,7767,2
0,12,8120,2
0,12,16500,2
1,9,8072,3
1,9,7057,3
1,9,5411,3
1,9,19899,3
1,9,8767,3
0,14,7041,1
0,12,15165,2
0,12,8568,2
0,12,2738,2
0,12,15695,2
0,12,5344,2
0,12,2863,2
0,12,5347,2
0,12,10585,2
0,12,10680,2
0,12,9823,2
0,12,8767,2
0,12,6909,2
0,12,19296,2
0,12,19659,2
0,12,15883,2
0,12,11692,2
0,12,7839,2
0,12,13096,2
0,12,16854,2
0,4,6134,1
0,4,7706,1
0,4,5211,1
0,4,7924,1
0,4,1941,1
0,4,11840,1
0,4,3466,1
0,4,11988,1
0,4,8121,1
0,4,5365,1
0,4,2229,1
0,4,5388,1
0,4,2141,1
0,4,4161,1
0,4,15682,1
0,4,15793,1
1,4,5208,1
1,2,9891,3
1,2,7845,3
1,2,9687,3
1,2,16604,3
1,2,8743,3
0,4,7013,1
0,4,8796,1
0,4,1943,1
0,4,5268,1
0,4,6005,1
0,4,4421,1
0,4,20556,1
0,4,12270,1
0,4,12039,1
0,4,8595,1
0,4,7784,1
0,4,15180,1
0,4,5471,1
0,4,7765,1
0,4,7140,1
0,4,9979,1
0,4,8051,1
0,4,7928,1
0,4,8010,1
0,4,5823,1
0,4,6882,1
0,4,6071,1
0,4,15416,1
0,4,15548,1
0,4,11897,1
0,4,7623,1
0,4,3491,1
0,4,7065,1
0,4,12900,1
0,4,5384,1
0,4,5264,1
0,4,6966,1
0,4,3469,1
1,4,4104,1
1,4,15703,1
1,4,6887,1
0,7,8781,2
0,7,8021,2
0,7,8230,2
0,7,5270,2
0,7,15718,2
0,7,3603,2
0,7,7064,2
0,7,12957,2
0,7,13242,2
0,7,19647,2
0,7,6913,2
0,7,7016,2
0,7,6992,2
0,7,8016,2
0,7,9964,2
0,7,8023,2
0,12,15735,3
0,12,19026,3
0,12,8616,3
0,12,8811,3
0,12,7010,3
0,12,3442,3
0,12,19626,3
0,12,5256,3
0,12,9935,3
0,17,1961,2
0,17,3195,2
0,17,15372,3
0,17,18781,3
0,17,8851,3
0,17,11843,3
0,17,6975,3
0,17,6447,3
0,1,7847,3
1,10,3829,0
1,10,19332,0
1,10,7582,0
0,17,19461,4
0,17,3988,4
0,17,15486,4
0,16,3937,2
0,16,15174,2
0,16,7121,2
0,16,5306,2
0,16,7157,2
0,20,11915,1
0,20,11417,1
0,20,6897,1
0,20,6866,1
0,20,3503,1
0,20,7827,1
0,14,15634,3
0,14,10620,3
0,13,8779,4
0,13,6949,4
0,13,7048,4
0,13,5161,4
0,13,3756,4
0,13,6979,4
0,13,8678,4
0,13,5258,4
0,13,7036,4
0,13,8873,4
0,13,6889,4
0,13,15893,4
0,13,6958,4
0,13,15714,4
0,13,7169,4
0,13,7121,4
0,13,5415,4
0,13,5443,4
0,13,19234,4
0,13,9748,4
0,13,17204,4
0,13,15555,4
0,13,8128,4
0,13,15601,4
0,13,11539,4
0,13,10322,4
0,13,3406,4
0,13,4212,4
0,13,396,4
0,13,9786,4
0,13,5926,4
0,13,1400,4
0,13,3657,4
0,13,12953,4
0,13,7764,4
0,13,2000,4
0,13,15490,4
0,4,15222,1
0,14,1796,3
0,14,5892,3
0,14,5406,3
1,4,12108,2
1,4,17189,2
0,12,7056,2
0,12,15828,2
0,12,9760,2
1,0,5957,2
0,1,15204,2
0,1,16626,2
0,1,6944,2
0,17,15851,2
0,17,11978,2
0,17,2098,2
0,17,7069,2
0,17,6854,2
0,17,6970,2
0,17,6472,2
0,17,19303,2
0,17,10042,2
0,7,5169,2
0,7,10051,2
0,7,4293,2
0,7,5152,2
0,7,5358,2
0,7,6957,2
0,7,19991,2
0,7,8182,2
0,7,19995,2
0,7,9804,2
0,7,8086,2
0,7,15230,2
0,7,15826,2
0,7,7989,2
0,7,5299,2
0,7,7839,2
0,7,6409,2
0,7,3701,2
0,7,6983,2
0,7,7979,2
0,7,6149,2
0,20,7094,3
0,20,7888,3
0,15,3687,2
0,10,8114,1
0,10,10049,1
0,10,6197,1
0,10,5914,1
0,10,3472,1
0,10,8070,1
0,10,7774,1
0,10,7929,1
0,10,5325,1
0,10,19273,1
0,10,4095,1
0,1,15797,4
0,1,16889,4
0,1,11015,4
0,1,6986,4
0,1,15914,4
0,1,19190,4
0,1,19228,4
0,1,13077,4
0,1,8791,4
0,3,11516,2
0,3,19474,2
0,3,8787,2
0,3,20878,2
0,20,4253,2
0,20,7131,2
0,20,10901,2
0,20,11970,2
1,20,9905,4
1,20,3466,4
0,7,7933,3
0,7,8036,3
0,0,20273,2
0,0,19648,2
0,0,19976,2
0,0,20261,2
0,0,8685,2
0,0,16605,2
0,0,12992,2
0,0,23826,2
0,0,9719,2
0,0,8873,2
0,0,7537,2
0,0,8073,2
0,0,8843,2
0,0,7860,2
0,0,6873,2
0,0,6997,2
0,0,2811,2
0,0,1386,2
0,0,7119,2
0,5,19133,2
0,5,15860,2
0,6,2105,2
0,6,20742,2
0,6,19619,2
0,6,15916,2
0,6,8759,2
0,6,5320,2
0,6,11661,2
0,6,1460,2
1,7,9929,5
1,7,12084,5
1,7,9933,5
1,7,7973,5
1,7,15524,5
1,7,7842,5
1,7,7765,5
1,7,6041,5
1,7,7822,5
1,7,7156,5
1,7,8039,5
1,7,7867,5
1,7,9871,5
1,7,5953,5
0,19,20072,1
0,19,10967,1
0,19,9969,1
0,19,7138,1
0,19,5453,1
0,17,10819,5
0,17,15505,5
0,17,11471,5
0,17,3753,5
1,4,15896,1
1,4,15525,1
1,4,11868,1
1,4,18994,1
1,4,5453,1
1,4,19649,1
1,4,6587,1
1,4,11764,1
1,4,7880,1
1,4,9915,1
1,4,15288,1
0,16,6903,2
0,16,13056,2
0,7,15624,5
0,7,7992,5
0,7,8609,5
0,7,9920,5
0,16,15172,3
0,16,5877,3
0,16,11638,3
0,16,12707,3
0,16,13156,3
0,16,1779,3
0,16,4031,3
0,16,15319,3
0,16,6026,3
0,16,5855,3
0,16,8065,3
0,16,5871,3
0,16,6168,3
0,16,9791,3
0,16,7791,3
0,16,4112,3
0,16,8006,3
0,16,2277,3
0,16,7810,3
0,16,11488,3
0,16,5289,3
0,16,4147,3
0,16,5365,3
0,16,5145,3
0,16,10791,3
0,16,3539,3
0,16,1897,3
0,16,1398,3
0,16,11556,3
0,16,8109,3
0,16,11519,3
0,16,11766,3
0,16,9314,3
0,16,12815,3
0,16,3956,3
0,16,11829,3
0,16,4623,3
0,16,4608,3
0,16,4688,3
0,16,3113,3
0,16,2966,3
0,16,3210,3
0,16,5511,3
0,16,6103,3
0,16,563,3
1,4,8731,1
1,14,8671,1
